232 trajectories on 4 workers (56 already complete)
[125/232] three-plane-three-peaks s2 space-filling peak=0.10 placement 0.0195 end_to_end 0.0257
[126/232] three-plane-three-peaks s1 vurs-n peak=0.10 placement 0.0113 end_to_end 0.0163
[127/232] three-plane-three-peaks s1 vurs-a peak=0.10 placement 0.0134 end_to_end 0.0172
[128/232] three-plane-three-peaks s2 vwrs peak=0.10 placement 0.0122 end_to_end 0.0178
[129/232] three-plane-three-peaks s2 gpr-var peak=0.10 placement 0.0195 end_to_end 0.0232
[130/232] three-plane-three-peaks s2 vwrs-n peak=0.10 placement 0.0144 end_to_end 0.0235
[131/232] three-plane-three-peaks s1 gpr-n peak=0.10 placement 0.0137 end_to_end 0.0174
[132/232] three-plane-three-peaks s2 vurs peak=0.10 placement 0.0109 end_to_end 0.0157
[133/232] three-plane-three-peaks s2 gpr-u50-g50 peak=0.10 placement 0.0145 end_to_end 0.0189
[134/232] two-plane-asymmetric s0 space-filling peak=0.10 placement 0.0197 end_to_end 0.0273
[135/232] three-plane-three-peaks s2 vurs-n peak=0.10 placement 0.0138 end_to_end 0.0185
[136/232] three-plane-three-peaks s2 vurs-a peak=0.10 placement 0.0136 end_to_end 0.0187
[137/232] two-plane-asymmetric s0 vwrs peak=0.10 placement 0.0116 end_to_end 0.0180
[138/232] three-plane-three-peaks s2 gpr-n peak=0.10 placement 0.0144 end_to_end 0.0187
[139/232] two-plane-asymmetric s0 vwrs-n peak=0.10 placement 0.0171 end_to_end 0.0221
[140/232] two-plane-asymmetric s0 gpr-var peak=0.10 placement 0.0221 end_to_end 0.0260
[141/232] two-plane-asymmetric s0 vurs peak=0.10 placement 0.0110 end_to_end 0.0167
[142/232] two-plane-asymmetric s0 gpr-u50-g50 peak=0.10 placement 0.0154 end_to_end 0.0189
[143/232] two-plane-asymmetric s1 space-filling peak=0.10 placement 0.0160 end_to_end 0.0221
[144/232] two-plane-asymmetric s0 vurs-n peak=0.10 placement 0.0127 end_to_end 0.0164
[145/232] two-plane-asymmetric s0 vurs-a peak=0.10 placement 0.0147 end_to_end 0.0196
[146/232] two-plane-asymmetric s1 vwrs peak=0.10 placement 0.0081 end_to_end 0.0144
[147/232] two-plane-asymmetric s0 gpr-n peak=0.10 placement 0.0163 end_to_end 0.0210
[148/232] two-plane-asymmetric s1 gpr-var peak=0.10 placement 0.0218 end_to_end 0.0254
[149/232] two-plane-asymmetric s1 vwrs-n peak=0.10 placement 0.0105 end_to_end 0.0155
[150/232] two-plane-asymmetric s1 gpr-u50-g50 peak=0.10 placement 0.0159 end_to_end 0.0172
[151/232] two-plane-asymmetric s1 vurs peak=0.10 placement 0.0099 end_to_end 0.0149
[152/232] two-plane-asymmetric s2 space-filling peak=0.10 placement 0.0273 end_to_end 0.0298
[153/232] two-plane-asymmetric s1 vurs-a peak=0.10 placement 0.0139 end_to_end 0.0215
[154/232] two-plane-asymmetric s1 vurs-n peak=0.10 placement 0.0146 end_to_end 0.0213
[155/232] two-plane-asymmetric s2 vwrs peak=0.10 placement 0.0108 end_to_end 0.0156
[156/232] two-plane-asymmetric s2 gpr-var peak=0.10 placement 0.0188 end_to_end 0.0195
[157/232] two-plane-asymmetric s2 vwrs-n peak=0.10 placement 0.0105 end_to_end 0.0161
[158/232] two-plane-asymmetric s1 gpr-n peak=0.10 placement 0.0151 end_to_end 0.0186
[159/232] two-plane-asymmetric s2 vurs peak=0.10 placement 0.0112 end_to_end 0.0163
[160/232] two-plane-asymmetric s2 gpr-u50-g50 peak=0.10 placement 0.0146 end_to_end 0.0180
[161/232] two-plane-asymmetric s2 vurs-a peak=0.10 placement 0.0142 end_to_end 0.0180
[162/232] two-plane-asymmetric s2 vurs-n peak=0.10 placement 0.0123 end_to_end 0.0169
[163/232] two-plane-four-peaks s1 vwrs-n peak=0.05 placement 0.0090 end_to_end 0.0114
[164/232] two-plane-asymmetric s2 gpr-n peak=0.10 placement 0.0144 end_to_end 0.0180
[165/232] two-plane-four-peaks s1 gpr-u50-g50 peak=0.05 placement 0.0159 end_to_end 0.0174
[166/232] two-plane-four-peaks s1 vurs peak=0.05 placement 0.0120 end_to_end 0.0140
[167/232] two-plane-four-peaks s2 space-filling peak=0.05 placement 0.0284 end_to_end 0.0297
[168/232] two-plane-four-peaks s1 vurs-n peak=0.05 placement 0.0115 end_to_end 0.0143
[169/232] two-plane-four-peaks s1 vurs-a peak=0.05 placement 0.0166 end_to_end 0.0176
[170/232] two-plane-four-peaks s2 vwrs peak=0.05 placement 0.0115 end_to_end 0.0136
[171/232] two-plane-four-peaks s1 gpr-n peak=0.05 placement 0.0157 end_to_end 0.0175
[172/232] two-plane-four-peaks s2 vwrs-n peak=0.05 placement 0.0154 end_to_end 0.0166
[173/232] two-plane-four-peaks s2 gpr-var peak=0.05 placement 0.0217 end_to_end 0.0227
[174/232] two-plane-four-peaks s2 gpr-u50-g50 peak=0.05 placement 0.0179 end_to_end 0.0197
[175/232] two-plane-four-peaks s2 vurs peak=0.05 placement 0.0117 end_to_end 0.0144
[176/232] three-plane-three-peaks s0 space-filling peak=0.05 placement 0.0229 end_to_end 0.0236
[177/232] two-plane-four-peaks s2 vurs-n peak=0.05 placement 0.0132 end_to_end 0.0154
